"city","pop","poppc","pop2000","babies","children","elderly","female","white","black","native","asian","islander","multir","hispanic","stayput","foreign","nonenglish","highschool","grads","commute","units","ownership","housevalue","households","housesold_size","housesold_income","income","poverty","trade_sales","retail_sales","retail_sales_pc","accomod","firms","firms_black","firms_native","firms_asian","firms_hispanic","firms_islander","firms_female","area","density","fips","county"
"Folsom",66123,27.4,51884,6.9,24.2,8.8,44.8,77.9,6,0.6,7.2,0.2,3.4,9.5,38.9,8.8,13.4,88.9,37.6,27.7,17968,76.3,228700,17196,2.61,73175,30210,7.3,741726,1364104,22430,100746,4746,2.1,NA,6.4,4.4,NA,29.7,21,2386.6,24638,"Sacramento County "
"Fontana",170099,31.1,128929,10.3,37.8,4.7,50.4,45,11.8,1.1,4.4,0.3,5.4,57.7,44.8,26.9,50.4,65.4,10.3,35.1,35908,68.1,130400,34014,3.78,45782,14208,14.7,3209720,999245,6964,88051,7743,NA,NA,10.3,38,NA,24.2,36,3569.5,24680,"San Bernardino County "
"Foster City",28937,0.5,28803,5.9,21.2,10.1,50.8,59.3,2.1,0.1,32.5,0.6,4.1,5.3,50,35.2,39.7,95.6,59.8,27.3,12009,61.5,566500,11613,2.47,95279,45754,2.9,2665941,249159,8552,55825,2969,NA,NA,NA,NA,NA,30.6,3,7660.4,25338,"San Mateo County "
"Fountain Valley",55857,1.6,54978,6,23.5,11.3,51.1,64,1.1,0.5,25.8,0.4,4.3,10.7,59.6,27.6,35.4,88.6,34.4,26.5,18473,74.7,289500,18162,3,69734,26521,4.3,NA,948353,17100,91161,6452,NA,NA,25,6,NA,31.1,8,6170.4,25380,"Orange County "
"Fremont",201691,-0.8,203413,7.4,25.8,8.3,49.7,47.7,3.1,0.5,37,0.4,5.8,13.5,49.4,37.1,46.9,88.4,43.2,31.4,69452,64.5,363400,68237,2.96,76579,31411,5.4,10697253,2797428,13613,212454,14998,NA,NA,38.1,NA,NA,31.9,76,2652.4,26000,"Alameda County "
"Fresno",466714,8.8,427652,9.1,32.9,9.3,50.9,50.2,8.4,1.6,11.2,0.1,5.2,39.9,46.2,20.3,39.5,69.1,19,21.7,149025,50.6,97300,140079,2.99,32236,15010,26.2,4350082,4743378,10683,544790,26881,5.2,3.1,13.9,19.3,NA,NA,104,4097.9,27000,"Fresno County "
"Fullerton",132918,5.3,126003,7,25.1,11.3,50.6,61.9,2.3,0.7,16.1,0.2,4,30.2,49.1,28.9,41.2,81.8,31.3,27.4,44771,53.9,241900,43609,2.83,50269,23370,11.4,2896807,1420275,11042,173303,10914,3.1,NA,21.1,9,NA,32.9,22,5675.8,28000,"Orange County "
"Garden Grove",166296,0.7,165196,7.9,28.5,9.5,49.9,46.9,1.3,0.8,30.9,0.7,4.1,32.5,49.8,43.1,59.2,67.8,15,27.3,46703,59.6,199700,45791,3.56,47754,16209,13.9,1301383,1307234,7845,211687,13200,0.8,NA,42.5,11.6,NA,23,18,9167.4,29000,"Orange County "
"Gardena",59733,3,57746,7.5,25.8,12.4,51.3,23.8,26,0.6,26.8,0.7,5.1,31.8,56.7,32.8,48.1,74,16.6,25.5,21041,47.3,179500,20324,2.8,38988,17263,15.7,984737,620853,10439,104907,5324,12.7,NA,41.7,NA,NA,25.3,5,9922,28168,"Los Angeles County "
"Gilroy",48313,16.5,41464,9.4,32.6,6.8,50.2,58.9,1.8,1.6,4.4,0.3,5.3,53.8,44.1,24.1,43.6,70.1,19.1,30.6,12152,61.2,344100,11869,3.46,62135,22071,10.4,NA,813656,18940,77325,3075,NA,NA,NA,11.1,NA,26.3,15,2616,29504,"Santa Clara County "
"Glendale",199463,2.3,194973,5.7,22.4,13.9,52.3,63.6,1.3,0.3,16.1,0.1,10.1,19.7,50.8,54.4,67,79,32.1,27.3,73713,38.4,325700,71805,2.68,41805,22227,15.5,852780,2625246,13204,231443,24388,0.6,NA,17,5.4,NA,27.3,30,6361.3,30000,"Los Angeles County "
"Glendora",50370,2,49415,6.3,27.6,12.5,51.7,80.3,1.5,0.7,6.2,0.1,4,21.7,61.3,14.1,23.8,87.1,25.7,29.4,17145,73.6,225000,16819,2.88,60013,25993,5.9,NA,584361,11629,48383,4514,NA,NA,15.7,11.5,NA,NA,19,2581.8,30014,"Los Angeles County "
"Goleta",29182,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588885,574864,19291,56929,3027,NA,NA,NA,NA,NA,20.6,NA,NA,30378,"Santa Barbara County "
"Hanford",48655,16.4,41686,8.7,31.6,10.3,51,64.1,5,1.4,2.9,0.2,5.7,38.7,48.7,13.6,28.3,74.5,14.4,20.2,14721,59,102900,13931,2.93,37582,17504,17.3,NA,492513,11135,48979,2371,NA,NA,NA,NA,NA,39.5,13,3184.6,31960,"Kings County "
"Hawthorne",85438,1.6,84112,10.1,31.7,6.1,51.9,29.3,33,0.8,6.7,0.9,5.2,44.3,45.6,33.3,50.6,66.8,12.7,26.9,29629,25.9,183700,28536,2.93,31887,15022,20.3,302054,753540,8812,60850,5111,13.1,NA,10.1,27.7,NA,30.8,6,13879.9,32548,"Los Angeles County "
